Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
CM_cdhit-1_transcript_26279_1	1.8.1.9|1.8.1.19|1.18.1.2	-	1.8.1.-	-	1
CM_cdhit-1_transcript_28698_2	2.7.2.1|2.7.2.15	-	2.7.2.-	-	1
CM_cdhit-1_transcript_30061_1	1.4.99.5	-	1.4.99.-	-	1
CM_cdhit-1_transcript_30061_2	1.4.99.5	-	1.4.99.-	-	1
CM_cdhit-1_transcript_36242_1	1.8.4.12	-	1.8.4.-	-	1
CM_cdhit-1_transcript_37009_1	1.13.11.24	-	1.13.11.-	-	1
CM_cdhit-1_transcript_38668_1	2.7.7.6|2.7.7.49|2.7.7.7	-	2.7.7.-	-	1
CM_cdhit-1_transcript_41746_2	7.1.1.3	-	7.1.1.-	-	1
CM_cdhit-1_transcript_43438_2	5.4.2.10	-	5.4.2.-	-	1
CM_cdhit-1_transcript_45901_1	5.1.3.37|4.2.2.3	-	5.1.3.-	-	1
CM_cdhit-1_transcript_49333_1	6.1.1.15	-	6.1.1.-	-	1
CM_cdhit-1_transcript_49565_1	1.2.1.19	-	1.2.1.-	-	1
CM_cdhit-1_transcript_50440_1	1.1.5.3	-	1.1.5.-	GH36	2
CM_cdhit-1_transcript_50881_1	1.11.1.15	-	1.11.1.-	-	1
CM_cdhit-1_transcript_250797_14	7.4.2.5|7.4.2.1|7.4.2.7	-	7.4.2.-	-	1
CM_cdhit-1_transcript_302032_2	4.2.1.3	-	4.2.1.-	-	1
CM_cdhit-1_transcript_324787_1	2.4.2.10	-	2.4.2.-	-	1
CM_cdhit-1_transcript_327048_1	1.13.11.24	-	1.13.11.-	-	1
CM_cdhit-1_transcript_328120_1	3.6.3.17	-	3.6.3.-	-	1
CM_cdhit-1_transcript_329681_1	3.6.4.9	-	3.6.4.-	-	1
CM_cdhit-1_transcript_340674_1	4.1.99.22	-	4.1.99.-	-	1
CM_cdhit-1_transcript_340928_1	7.2.2.1	-	7.2.2.-	GT58	2
CM_cdhit-1_transcript_344190_2	2.7.1.23	-	2.7.1.-	-	1
CM_cdhit-1_transcript_345419_1	5.2.1.8	-	5.2.1.-	-	1
CM_cdhit-1_transcript_347265_1	2.6.1.13	-	2.6.1.-	-	1
CM_cdhit-1_transcript_348817_1	1.11.1.15	-	1.11.1.-	-	1
CM_cdhit-1_transcript_350649_2	1.2.1.41	-	1.2.1.-	-	1
CM_cdhit-1_transcript_352277_2	3.4.21.92	-	3.4.21.-	-	1
CM_cdhit-1_transcript_354923_1	2.8.1.7	-	2.8.1.-	-	1
CM_cdhit-1_transcript_355167_1	1.1.1.62|1.1.1.239|1.1.1.100	-	1.1.1.-	-	1
CM_cdhit-1_transcript_356095_1	3.6.4.10	-	3.6.4.-	-	1
CM_cdhit-1_transcript_356403_1	1.17.4.1	-	1.17.4.-	-	1
CM_cdhit-1_transcript_356403_2	1.17.4.1	-	1.17.4.-	-	1
CM_cdhit-1_transcript_357212_2	3.6.4.12	-	3.6.4.-	-	1
CM_cdhit-1_transcript_358095_1	3.6.1.3	-	3.6.1.-	-	1
CM_cdhit-1_transcript_359185_2	1.6.99.1	-	1.6.99.-	-	1
CM_cdhit-1_transcript_360494_2	2.1.1.198	-	2.1.1.-	-	1
CM_cdhit-1_transcript_360494_4	2.7.1.21	-	2.7.1.-	-	1
CM_cdhit-1_transcript_361932_2	1.3.1.34	-	1.3.1.-	-	1
CM_cdhit-1_transcript_362795_3	3.5.1.2|4.3.2.10	-	4.3.2.-+3.5.1.-	-	1
CM_cdhit-1_transcript_362795_4	4.3.2.10	-	4.3.2.-	-	1
CM_cdhit-1_transcript_362795_5	5.1.3.2	-	5.1.3.-	GT4	2
CM_cdhit-1_transcript_364821_1	1.15.1.1	-	1.15.1.-	-	1
CM_cdhit-1_transcript_365695_1	2.5.1.48	-	2.5.1.-	-	1
CM_cdhit-1_transcript_365703_2	1.11.1.15	-	1.11.1.-	-	1
CM_cdhit-1_transcript_367875_1	4.2.1.2	-	4.2.1.-	-	1
CM_cdhit-1_transcript_376018_2	2.7.7.48	-	2.7.7.-	-	1
CM_cdhit-1_transcript_376595_1	1.1.1.195|1.1.1.255|1.1.1.2|1.1.1.324|1.1.1.183|1.1.1.1	-	1.1.1.-	-	1
CM_cdhit-1_transcript_382312_4	7.1.2.2	-	7.1.2.-	-	1
CM_cdhit-1_transcript_383722_1	1.2.1.19	-	1.2.1.-	-	1
CM_cdhit-1_transcript_387874_1	1.3.1.42|1.3.1.100|1.3.1.31|1.3.1.92	-	1.3.1.-	-	1
CM_cdhit-1_transcript_391110_1	2.7.7.8|2.7.7.24|2.7.7.3|2.7.7.6	-	2.7.7.-	-	1
CM_cdhit-1_transcript_398612_1	1.1.1.205	-	1.1.1.-	-	1
CM_cdhit-1_transcript_302032_3	-	-	-	CBM50	1
CM_cdhit-1_transcript_324647_2	-	-	-	GH43_18	1
CM_cdhit-1_transcript_369973_1	-	-	-	CBM13+CBM6	1
